Date,Price,Open,High,Low,Vol.,Change %,Bank
02/01/2024,"30,900.0","29,650.0","31,050.0","29,650.0",2.75M,4.39%,CTS
01/31/2024,"29,600.0","29,450.0","30,450.0","29,250.0",3.75M,1.54%,CTS
01/30/2024,"29,150.0","28,750.0","29,150.0","28,500.0",1.21M,1.39%,CTS
01/29/2024,"28,750.0","29,400.0","29,400.0","28,750.0",1.05M,-1.03%,CTS
01/26/2024,"29,050.0","29,400.0","29,400.0","29,000.0",888.90K,-0.34%,CTS
01/25/2024,"29,150.0","28,800.0","29,400.0","28,750.0",1.53M,1.57%,CTS
01/24/2024,"28,700.0","28,600.0","29,500.0","28,600.0",1.87M,0.70%,CTS
01/23/2024,"28,500.0","28,700.0","29,050.0","28,500.0",1.08M,-0.70%,CTS
01/22/2024,"28,700.0","28,500.0","28,800.0","28,100.0",1.12M,1.06%,CTS
01/19/2024,"28,400.0","29,100.0","29,100.0","28,350.0",1.16M,-0.70%,CTS
01/18/2024,"28,600.0","28,800.0","29,450.0","28,500.0",1.08M,-0.35%,CTS
01/17/2024,"28,700.0","28,400.0","29,900.0","28,200.0",2.10M,1.23%,CTS
01/16/2024,"28,350.0","27,500.0","28,350.0","27,500.0",1.10M,2.72%,CTS
01/15/2024,"27,600.0","28,650.0","28,700.0","27,500.0",1.59M,-2.82%,CTS
01/12/2024,"28,400.0","28,500.0","29,150.0","28,200.0",2.02M,-1.39%,CTS
01/11/2024,"28,800.0","28,550.0","29,400.0","28,550.0",1.72M,0.35%,CTS
01/10/2024,"28,700.0","29,200.0","29,450.0","28,300.0",1.70M,-2.21%,CTS
01/09/2024,"29,350.0","29,000.0","29,600.0","28,800.0",2.51M,1.73%,CTS
01/08/2024,"28,850.0","28,300.0","28,900.0","28,150.0",2.27M,2.85%,CTS
01/05/2024,"28,050.0","28,050.0","28,200.0","27,800.0",863.70K,0.00%,CTS
01/04/2024,"28,050.0","28,050.0","28,750.0","28,000.0",1.83M,0.18%,CTS
01/03/2024,"28,000.0","27,650.0","28,000.0","27,550.0",859.60K,1.08%,CTS
01/02/2024,"27,700.0","28,750.0","28,750.0","27,600.0",1.72M,-2.12%,CTS
12/29/2023,"28,300.0","28,650.0","28,650.0","28,300.0",674.20K,-0.18%,CTS
12/28/2023,"28,350.0","28,400.0","28,700.0","28,100.0",1.19M,0.71%,CTS
12/27/2023,"28,150.0","28,600.0","28,950.0","28,150.0",1.69M,-0.88%,CTS
12/26/2023,"28,400.0","28,000.0","28,500.0","28,000.0",1.57M,1.61%,CTS
12/25/2023,"27,950.0","27,900.0","28,300.0","27,550.0",1.11M,0.36%,CTS
12/22/2023,"27,850.0","27,900.0","28,400.0","27,800.0",2.19M,0.18%,CTS
12/21/2023,"27,800.0","27,500.0","27,850.0","27,450.0",727.30K,-0.18%,CTS
12/20/2023,"27,850.0","27,850.0","28,050.0","27,600.0",1.12M,0.18%,CTS
12/19/2023,"27,800.0","27,000.0","27,800.0","26,950.0",1.29M,2.58%,CTS
12/18/2023,"27,100.0","27,400.0","27,400.0","27,000.0",913.10K,0.37%,CTS
12/15/2023,"27,000.0","27,000.0","27,500.0","26,800.0",1.03M,0.56%,CTS
12/14/2023,"26,850.0","27,000.0","27,300.0","26,700.0",889.70K,0.00%,CTS
12/13/2023,"26,850.0","27,600.0","27,700.0","26,750.0",1.30M,-2.01%,CTS
12/12/2023,"27,400.0","27,300.0","27,550.0","27,150.0",594.30K,0.37%,CTS
12/11/2023,"27,300.0","27,100.0","27,600.0","26,550.0",1.22M,0.74%,CTS
12/08/2023,"27,100.0","27,600.0","27,650.0","26,900.0",1.55M,-1.81%,CTS
12/07/2023,"27,600.0","28,700.0","28,850.0","27,000.0",3.65M,-3.83%,CTS
