,Prediction
1345,56180.82462987262
1346,55901.38496439336
1347,55637.630717813394
1348,55496.331555910176
1349,55461.7122576371
1350,56221.22993646595
1351,55987.90763014076
1352,55284.772326839135
1353,56207.52489961879
1354,56659.390736249225
1355,55645.156338453446
1356,57381.82858353704
1357,57274.05190527686
1358,56994.612913965546
1359,56730.862368769536
1360,56589.55878823232
1361,56554.93899324415
1362,57314.45011964478
1363,57081.115969353756
1364,56377.98602323577
1365,57300.735593160956
1366,57752.60488755998
1367,56738.3834046047
1368,58475.05136158168
1369,58367.274520229344
1370,58087.835112467816
1371,57824.08336062248
1372,57682.782977492454
1373,57648.163873261765
1374,58407.675627933655
1375,58174.343407015556
1376,57471.2142668212
1377,58393.96429995831
1378,58845.83565758006
1379,57831.60916022404
1380,59568.277234569745
1381,59460.49959414091
1382,59181.06025500756
1383,58917.308176879706
1384,58776.007039282296
1385,58741.38763450653
1386,59500.90094855565
1387,59267.571029505845
1388,58564.43975517149
1389,59487.190388808805
1390,59939.05936425274
1391,58924.83225204546
1392,60661.50153818801
1393,60553.72446705001
1394,60274.28520833994
1395,60010.53370515878
1396,59869.232098256776
1397,59834.61268165718
1398,60594.124791620445
1399,60360.79279416104
1400,59657.66266729666
1401,60580.41277077934
1402,61032.282677482384
1403,60018.05747202628
1404,61754.72593388332
1405,61646.948732124045
1406,61367.50940043167
1407,61103.75762091148
1408,60962.45654623788
1409,60927.83722762572
1410,61687.34965313154
1411,61454.0183174484
1412,60750.88808457347
1413,61673.63835285063
1414,62125.50836883714
1415,61111.282106567356
1416,62847.95074108997
1417,62740.17345335654
1418,62460.734145023984
1419,62196.98237271037
1420,62055.681092478684
1421,62021.06171361695
1422,62780.57429539376
1423,62547.243153202966
1424,61844.11264463477
1425,62766.86296487804
1426,63218.732629942206
1427,62204.50648296614
1428,63941.1752526916
1429,63833.39806017852
1430,63553.95875856099
1431,63290.20706457183
1432,63148.90575829306
1433,63114.286389224035
1434,63873.79877445537
1435,63640.46730746919
1436,62937.33701025791
1437,63860.087247157986
1438,64311.957107884395
1439,63297.731203322495
1440,65034.39983314299
1441,64926.622604458025
1442,64647.18329145053
1443,64383.43154429772
1444,64242.13031673179
1445,64207.5109593865
1446,64967.02342564627
1447,64733.692112012795
1448,64030.56176000546
1449,64953.31203556054
1450,65405.18187431009
1451,64390.95577727117
1452,66127.6244575695
1453,66019.84722383105
1454,65740.4079162225
1455,65476.656180155675
1456,65335.354909163165
1457,65300.735541242415
1458,66060.2480137884
1459,65826.9166978777
1460,65123.786318054095
1461,66046.53659347777
1462,66498.40638775674
1463,65484.18034321838
1464,67220.84903267931
1465,67113.07181309791
1466,66833.63250539573
1467,66569.88077808183
1468,66428.57951171864
1469,66393.96014716178
1470,67153.47259127241
1471,66920.14123077475
1472,66217.01088552453
1473,67139.76114942117
1474,67591.63097925807
1475,66577.40495835878
1476,68314.07362668938
1477,68206.29639940817
1478,67926.85709014503
1479,67663.10535380151
1480,67521.80409747014
1481,67487.18473390001
1482,68246.697194637
1483,68013.36586385495
1484,67310.23550444975
1485,68232.98577589136
1486,68684.85559593544
1487,67670.62954387222
1488,69407.29822320862
1489,69299.5209966879
